address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
Moore St,LOS ANGELES,CA,90039,,,,,18.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/251400921_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Marsh St,LOS ANGELES,CA,90039,,632.0,2.0,1.0,150.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/248029720_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Fargo St,LOS ANGELES,CA,90039,,756.0,1.0,1.0,239.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/248450139_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
1542 S Eastern Ave,Commerce,CA,90040,574999,2105.0,5.0,3.0,5.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1542-S-Eastern-Ave-Commerce-CA-90040/20653633_zpid/
1427 S Mcdonnell Ave,Commerce,CA,90040,655000,2117.0,6.0,3.0,,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1427-S-Mcdonnell-Ave-Commerce-CA-90040/20654060_zpid/
1546 S Eastern Ave,Commerce,CA,90040,624999,1786.0,4.0,3.0,5.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/1546-S-Eastern-Ave-Commerce-CA-90040/20653634_zpid/
2251 Ayers Ave,Commerce,CA,90040,645000,1609.0,4.0,2.0,263.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/2251-Ayers-Ave-Commerce-CA-90040/55198074_zpid/
4808 Nobel St STOP 90040,Commerce,CA,90040,,,,,1.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/4808-Nobel-St-STOP-90040-Commerce-CA-90040/2086225897_zpid/
6112 Greenwood Ave,Commerce,CA,90040,929000,4083.0,9.0,4.0,49.0,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/6112-Greenwood-Ave-Commerce-CA-90040/21089273_zpid/
Greenwood Ave,Commerce,CA,90040,,1540.0,4.0,2.0,29.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/251287916_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Greenwood Ave,Commerce,CA,90040,,834.0,2.0,1.0,95.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/250504064_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Astor Ave,Commerce,CA,90040,,1950.0,5.0,3.0,173.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/241541154_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Fitzgerald Ave,Commerce,CA,90040,,1180.0,3.0,2.0,269.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/243943429_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Fitzgerald Ave,Los Angeles,CA,90040,,1318.0,2.0,2.0,330.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/245937419_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
